"short_description","category","location","admin_priority"
"Complaint: road condition unsafe in school","road","school","High"
"Complaint: can be checked water supply problem in hospital","water","hospital","Low"
"Broken bench found in park at highway, not severe","park","highway","Low"
"Park is dirty near residential, problematic","park","residential","Medium"
"Complaint: garbage issue creating disturbance at hospital","garbage","hospital","Low"
"Water leakage near hospital should be fixed soon","water","hospital","Medium"
"Voltage fluctuation issue in other, causing issues","electricity","other","Medium"
"Broken road reported near school, low priority","road","school","Low"
"Overgrown grass in park at school, critical","park","school","High"
"Sanitation issue at other, minor","sanitation","other","Low"
"Complaint: poor maintenance in park near highway, immediate","park","highway","High"
"Darkness due to streetlight outage in school, causing issues","streetlight","school","Medium"
"Broken bench found in park at hospital, not severe","park","hospital","Low"
"Complaint: streetlight fault at residential, needs attention","streetlight","residential","Medium"
"Complaint: garbage issue creating disturbance at school","garbage","school","High"
"Park is dirty near other, dangerous","park","other","High"
"Highway damage issue near highway, dangerous","road","highway","High"
"Park is dirty near school, small","park","school","Low"
"Complaint: poor maintenance in park near market, critical","park","market","High"
"Broken road reported near school, problematic","road","school","Medium"
"Garbage pileup near residential, causing issues","garbage","residential","Medium"
"Darkness due to streetlight outage in market, small","streetlight","market","Low"
"Park is dirty near school, serious","park","school","High"
"Complaint: road condition unsafe in other","road","other","Medium"
"Unsafe due to broken streetlight in hospital, immediate","streetlight","hospital","High"
"Urgent repair needed: electricity issue at school","electricity","school","Low"
"Uncollected garbage near residential, minor","garbage","residential","Low"
"Unsafe due to broken streetlight in other, small","streetlight","other","Low"
"Complaint: garbage issue creating disturbance at other","garbage","other","Medium"
"Broken bench found in park at highway, critical","park","highway","High"
"Complaint: streetlight fault at highway, not severe","streetlight","highway","Low"
"Complaint: poor maintenance in park near school, dangerous","park","school","High"
"Power outage at other, low priority","electricity","other","Low"
"Minor sanitation issue noticed in residential, small","sanitation","residential","Low"
"Minor sanitation issue noticed in highway, low priority","sanitation","highway","Low"
"Highway damage issue near residential, urgent","road","residential","High"
"Water leakage near residential should be fixed soon","water","residential","Medium"
"Darkness due to streetlight outage in residential, needs attention","streetlight","residential","Medium"
"Highway damage issue near residential, can be checked","road","residential","Low"
"Voltage fluctuation issue in hospital, critical","electricity","hospital","High"
"Minor sanitation issue noticed in other, low priority","sanitation","other","Low"
"Unsafe due to broken streetlight in market, causing issues","streetlight","market","Medium"
"Complaint: streetlight fault at school, dangerous","streetlight","school","High"
"Complaint: problematic water supply problem in highway","water","highway","Medium"
"Complaint: streetlight fault at other, dangerous","streetlight","other","High"
"Overgrown grass in park at residential, small","park","residential","Low"
"Electricity problem reported in hospital, minor","electricity","hospital","Low"
"Complaint: dirty surroundings near highway, immediate","sanitation","highway","High"
"Broken road reported near residential, serious","road","residential","High"
"Major accident on road near hospital due to potholes, urgent","road","hospital","High"
"Complaint: streetlight fault at residential, minor","streetlight","residential","Low"
"Drainage overflow issue in highway, low priority","water","highway","Low"
"Power outage at market, can be checked","electricity","market","Low"
"Unhygienic condition reported at hospital, not severe","sanitation","hospital","Low"
"Streetlight not working in school, causing issues","streetlight","school","Medium"
