short_description,category,location,admin_priority
"Power outage at other, low priority",electricity,other,Low
"Broken bench found in park at school, not severe",park,school,Low
"Uncollected garbage near school, causing issues",garbage,school,Medium
"Complaint: poor maintenance in park near residential, problematic",park,residential,Medium
"Highway damage issue near highway, problematic",road,highway,Medium
"Complaint: poor maintenance in park near market, causing issues",park,market,Medium
"Broken bench found in park at highway, critical",park,highway,High
"Minor sanitation issue noticed in hospital, should be fixed soon",sanitation,hospital,Medium
"Voltage fluctuation issue in market, needs attention",electricity,market,Medium
Water leakage near highway needs attention,water,highway,Medium
"Overflowing dustbins found in other, causing issues",garbage,other,Medium
"Darkness due to streetlight outage in residential, needs attention",streetlight,residential,Medium
"Drainage overflow issue in highway, low priority",water,highway,Low
Critical water fault reported at residential,water,residential,High
Urgent repair needed: electricity issue at highway,electricity,highway,Medium
"Complaint: poor maintenance in park near school, dangerous",park,school,High
"Complaint: poor maintenance in park near other, serious",park,other,High
"Voltage fluctuation issue in school, small",electricity,school,Low
"Park is dirty near other, needs attention",park,other,Medium
Complaint: garbage issue creating disturbance at other,garbage,other,High
"Unhygienic condition reported at other, small",sanitation,other,Low
"Unsafe due to broken streetlight in hospital, critical",streetlight,hospital,High
"Broken bench found in park at highway, should be fixed soon",park,highway,Medium
"Unsafe due to broken streetlight in market, immediate",streetlight,market,High
"Broken bench found in park at highway, not severe",park,highway,Low
Urgent repair needed: electricity issue at highway,electricity,highway,Medium
"Complaint: poor maintenance in park near other, should be fixed soon",park,other,Medium
"Power outage at residential, critical",electricity,residential,High
"Electricity problem reported in hospital, problematic",electricity,hospital,Medium
"Minor sanitation issue noticed in market, should be fixed soon",sanitation,market,Medium
"Broken bench found in park at hospital, critical",park,hospital,High
Complaint: garbage issue creating disturbance at other,garbage,other,Low
"Unsafe due to broken streetlight in hospital, immediate",streetlight,hospital,High
"Electricity problem reported in other, critical",electricity,other,High
"Unsafe due to broken streetlight in school, small",streetlight,school,Low
"Highway damage issue near market, urgent",road,market,High
"Uncollected garbage near hospital, causing issues",garbage,hospital,Medium
"Complaint: streetlight fault at school, dangerous",streetlight,school,High
Complaint: garbage issue creating disturbance at residential,garbage,residential,Low
"Park is dirty near school, minor",park,school,Low
Complaint: garbage issue creating disturbance at school,garbage,school,High
"Darkness due to streetlight outage in other, low priority",streetlight,other,Low
"Overflowing dustbins found in market, serious",garbage,market,High
Critical water fault reported at other,water,other,Medium
"Drainage overflow issue in highway, small",water,highway,Low
"Unsafe due to broken streetlight in market, causing issues",streetlight,market,Medium
"Streetlight not working in other, minor",streetlight,other,Low
"Sanitation issue at hospital, urgent",sanitation,hospital,High
"Complaint: streetlight fault at other, serious",streetlight,other,High
"Drainage overflow issue in school, causing issues",water,school,Medium
"Unhygienic condition reported at hospital, can be checked",sanitation,hospital,Low
"Park is dirty near other, causing issues",park,other,Medium
"Voltage fluctuation issue in hospital, urgent",electricity,hospital,High
"Complaint: poor maintenance in park near other, small",park,other,Low
"Complaint: dirty surroundings near hospital, small",sanitation,hospital,Low
"Complaint: dirty surroundings near market, immediate",sanitation,market,High
Complaint: road condition unsafe in residential,road,residential,High
"Unhygienic condition reported at highway, causing issues",sanitation,highway,Medium
"Broken bench found in park at other, serious",park,other,High
Complaint: road condition unsafe in market,road,market,Low
"Garbage pileup near residential, causing issues",garbage,residential,Medium
"Uncollected garbage near hospital, causing issues",garbage,hospital,Medium
"Unhygienic condition reported at hospital, causing issues",sanitation,hospital,Medium
"Major accident on road near residential due to potholes, urgent",road,residential,High
"Garbage pileup near other, can be checked",garbage,other,Low
"Unhygienic condition reported at school, can be checked",sanitation,school,Low
Complaint: garbage issue creating disturbance at highway,garbage,highway,High
"Major accident on road near other due to potholes, causing issues",road,other,Medium
"Unsafe due to broken streetlight in residential, problematic",streetlight,residential,Medium
"Overflowing dustbins found in school, not severe",garbage,school,Low
Critical water fault reported at hospital,water,hospital,Low
"Broken road reported near school, can be checked",road,school,Low
Complaint: road condition unsafe in hospital,road,hospital,Medium
Water leakage near other should be fixed soon,water,other,Medium
"Unsafe due to broken streetlight in market, not severe",streetlight,market,Low
"Complaint: dirty surroundings near school, low priority",sanitation,school,Low
Water leakage near school urgent,water,school,High
"Overflowing dustbins found in highway, causing issues",garbage,highway,Medium
"Electricity problem reported in school, not severe",electricity,school,Low
Complaint: road condition unsafe in residential,road,residential,High
"Voltage fluctuation issue in market, needs attention",electricity,market,Medium
"Darkness due to streetlight outage in school, needs attention",streetlight,school,Medium
"Minor sanitation issue noticed in hospital, can be checked",sanitation,hospital,Low
Water leakage near residential should be fixed soon,water,residential,Medium
"Darkness due to streetlight outage in hospital, serious",streetlight,hospital,High
"Unsafe due to broken streetlight in hospital, urgent",streetlight,hospital,High
"Broken road reported near highway, critical",road,highway,High
"Overgrown grass in park at hospital, problematic",park,hospital,Medium
"Overflowing dustbins found in residential, needs attention",garbage,residential,Medium
Complaint: garbage issue creating disturbance at residential,garbage,residential,High
"Park is dirty near school, small",park,school,Low
"Broken bench found in park at residential, low priority",park,residential,Low
Water leakage near other dangerous,water,other,High
Urgent repair needed: electricity issue at other,electricity,other,Medium
"Minor sanitation issue noticed in highway, small",sanitation,highway,Low
"Park is dirty near market, serious",park,market,High
"Drainage overflow issue in hospital, needs attention",water,hospital,Medium
"Broken bench found in park at hospital, not severe",park,hospital,Low
Water leakage near market dangerous,water,market,High
"Unhygienic condition reported at hospital, can be checked",sanitation,hospital,Low
"Complaint: dirty surroundings near other, dangerous",sanitation,other,High
"Unsafe due to broken streetlight in school, should be fixed soon",streetlight,school,Medium
"Broken road reported near market, should be fixed soon",road,market,Medium
Complaint: road condition unsafe in other,road,other,High
"Overgrown grass in park at market, needs attention",park,market,Medium
"Electricity problem reported in market, needs attention",electricity,market,Medium
Critical water fault reported at residential,water,residential,High
"Broken bench found in park at market, small",park,market,Low
Complaint: can be checked water supply problem in hospital,water,hospital,Low
"Complaint: dirty surroundings near hospital, serious",sanitation,hospital,High
Critical water fault reported at hospital,water,hospital,Low
"Power outage at residential, needs attention",electricity,residential,Medium
Complaint: garbage issue creating disturbance at residential,garbage,residential,High
"Uncollected garbage near school, critical",garbage,school,High
"Uncollected garbage near residential, critical",garbage,residential,High
"Highway damage issue near residential, can be checked",road,residential,Low
"Drainage overflow issue in highway, low priority",water,highway,Low
"Highway damage issue near residential, problematic",road,residential,Medium
Complaint: road condition unsafe in residential,road,residential,Medium
"Broken bench found in park at school, critical",park,school,High
"Broken bench found in park at other, dangerous",park,other,High
"Complaint: dirty surroundings near market, serious",sanitation,market,High
"Uncollected garbage near residential, needs attention",garbage,residential,Medium
"Park is dirty near school, serious",park,school,High
Complaint: garbage issue creating disturbance at market,garbage,market,High
"Uncollected garbage near residential, urgent",garbage,residential,High
"Park is dirty near highway, minor",park,highway,Low
"Sanitation issue at residential, urgent",sanitation,residential,High
"Darkness due to streetlight outage in residential, serious",streetlight,residential,High
"Park is dirty near residential, problematic",park,residential,Medium
"Voltage fluctuation issue in hospital, critical",electricity,hospital,High
"Minor sanitation issue noticed in residential, causing issues",sanitation,residential,Medium
"Sanitation issue at market, can be checked",sanitation,market,Low
"Darkness due to streetlight outage in other, needs attention",streetlight,other,Medium
"Highway damage issue near market, needs attention",road,market,Medium
"Drainage overflow issue in market, critical",water,market,High
"Complaint: poor maintenance in park near market, critical",park,market,High
"Minor sanitation issue noticed in highway, low priority",sanitation,highway,Low
"Highway damage issue near highway, needs attention",road,highway,Medium
"Broken bench found in park at highway, problematic",park,highway,Medium
"Highway damage issue near market, immediate",road,market,High
"Uncollected garbage near residential, critical",garbage,residential,High
"Overgrown grass in park at market, urgent",park,market,High
Critical water fault reported at hospital,water,hospital,High
"Streetlight not working in school, dangerous",streetlight,school,High
"Unhygienic condition reported at school, dangerous",sanitation,school,High
Water leakage near school immediate,water,school,High
"Highway damage issue near highway, urgent",road,highway,High
"Complaint: streetlight fault at hospital, problematic",streetlight,hospital,Medium
Water leakage near hospital causing issues,water,hospital,Medium
"Minor sanitation issue noticed in residential, needs attention",sanitation,residential,Medium
"Overgrown grass in park at hospital, problematic",park,hospital,Medium
"Broken bench found in park at market, dangerous",park,market,High
"Minor sanitation issue noticed in school, needs attention",sanitation,school,Medium
"Broken bench found in park at other, causing issues",park,other,Medium
